course_id,class_id,level_id,semester,section,
798,2,5,2114,S,
799,3,5,2114,S,
800,4,5,2114,S,
801,5,5,2114,S,
802,1,5,2114,T,
803,2,5,2114,T,
804,3,5,2114,T,
805,4,5,2114,T,
806,5,5,2114,T,
807,1,5,2114,U,
808,2,5,2114,U,
809,3,5,2114,U,
810,4,5,2114,U,
811,5,5,2114,U,
812,3,5,2114,X,
813,2,4,2114,L,
814,3,4,2114,L,
815,4,4,2114,L,
816,5,4,2114,L,
817,1,4,2114,L,
818,1,4,2114,R,
819,5,4,2114,R,
820,2,4,2114,R,
821,3,4,2114,R,
822,4,4,2114,R,
845,2,3,2117,F,
846,1,3,2117,F,
847,5,3,2117,F,
848,3,3,2117,F,
849,4,3,2117,F,
850,1,3,2117,G,
851,2,3,2117,G,
852,5,3,2117,G,
853,3,3,2117,G,
854,4,3,2117,G,
855,2,4,2117,M,
856,1,4,2117,M,
857,5,4,2117,M,
858,3,4,2117,M,
859,4,4,2117,M,
860,1,4,2117,P,
861,2,4,2117,P,
862,5,4,2117,P,
863,3,4,2117,P,
864,4,4,2117,P,
865,1,4,2117,R,
866,2,4,2117,R,
867,5,4,2117,R,
868,2,4,2117,Q,
869,1,4,2117,Q,
870,5,4,2117,Q,
871,3,4,2117,Q,
872,4,4,2117,Q,
873,1,5,2117,T,
874,2,5,2117,T,
875,5,5,2117,T,
876,3,5,2117,T,
877,4,5,2117,T,
878,2,5,2117,S,
879,1,5,2117,S,
880,5,5,2117,S,
881,3,5,2117,S,
882,4,5,2117,S,
883,1,5,2117,X,
884,2,5,2117,X,
885,5,5,2117,X,
886,3,5,2117,X,
887,4,5,2117,X,
888,2,5,2117,U,
889,1,5,2117,U,
890,5,5,2117,U,
891,3,5,2117,U,
892,4,5,2117,U,
893,3,5,2117,Z,
894,4,5,2117,Z,
895,3,1,2121,A,
896,4,1,2121,A,
897,5,1,2121,A,
898,1,1,2121,A,
899,2,1,2121,A,
912,1,3,2121,F,
913,2,3,2121,F,
914,3,3,2121,F,
915,4,3,2121,F,
916,5,3,2121,F,
917,1,3,2121,G,
918,2,3,2121,G,
919,3,3,2121,G,
920,4,3,2121,G,
921,5,3,2121,G,
922,1,4,2121,M,
923,2,4,2121,M,
924,3,4,2121,M,
925,4,4,2121,M,
926,5,4,2121,M,
927,1,4,2121,P,
928,2,4,2121,P,
929,3,4,2121,P,
930,4,4,2121,P,
931,5,4,2121,P,
932,1,4,2121,Q,
933,2,4,2121,Q,
934,3,4,2121,Q,
935,4,4,2121,Q,
936,5,4,2121,Q,
937,1,4,2121,R,
938,2,4,2121,R,
939,3,4,2121,R,
940,4,4,2121,R,
941,5,4,2121,R,
942,1,5,2121,S,
943,2,5,2121,S,
944,3,5,2121,S,
945,4,5,2121,S,
946,5,5,2121,S,
947,1,5,2121,T,
948,2,5,2121,T,
949,3,5,2121,T,
950,4,5,2121,T,
951,5,5,2121,T,
952,1,5,2121,U,
953,2,5,2121,U,
954,3,5,2121,U,
955,4,5,2121,U,
956,5,5,2121,U,
957,3,5,2121,X,
958,1,3,2124,A,
959,2,3,2124,A,
960,3,3,2124,A,
961,4,3,2124,A,
962,5,3,2124,A,
963,1,3,2124,F,
964,2,3,2124,F,
965,3,3,2124,F,
966,4,3,2124,F,
967,5,3,2124,F,
968,1,3,2124,G,
969,2,3,2124,G,
970,3,3,2124,G,
971,4,3,2124,G,
972,5,3,2124,G,
973,1,3,2124,H,
974,2,3,2124,H,
975,3,3,2124,H,
976,4,3,2124,H,
977,5,3,2124,H,
978,1,4,2124,M,
979,2,4,2124,M,
980,3,4,2124,M,
981,4,4,2124,M,
982,5,4,2124,M,
983,1,4,2124,P,
984,2,4,2124,P,
985,3,4,2124,P,
986,4,4,2124,P,
987,5,4,2124,P,
988,1,4,2124,Q,
989,2,4,2124,Q,
990,3,4,2124,Q,
991,4,4,2124,Q,
992,5,4,2124,Q,
993,1,4,2124,R,
994,2,4,2124,R,
995,3,4,2124,R,
996,4,4,2124,R,
997,5,4,2124,R,
998,1,5,2124,S,
999,2,5,2124,S,
1000,3,5,2124,S,
1001,4,5,2124,S,
1002,5,5,2124,S,
1003,1,5,2124,T,
1004,2,5,2124,T,
1005,3,5,2124,T,
1006,4,5,2124,T,
1007,5,5,2124,T,
1008,1,5,2124,U,
1009,2,5,2124,U,
1010,3,5,2124,U,
1011,4,5,2124,U,
1012,5,5,2124,U,
1015,3,5,2124,X,
1018,3,3,2124,H,
1019,4,3,2124,H,
1020,1,5,2124,X,
1021,2,5,2124,X,
1022,4,5,2124,X,
1023,5,5,2124,X,
1024,1,3,2127,F,
1025,2,3,2127,F,
1026,3,3,2127,F,
1027,4,3,2127,F,
1028,5,3,2127,F,
1029,1,3,2127,G,
1030,2,3,2127,G,
1031,3,3,2127,G,
1032,4,3,2127,G,
1033,5,3,2127,G,
1034,1,3,2127,H,
1035,2,3,2127,H,
1036,3,3,2127,H,
1037,4,3,2127,H,
1038,5,3,2127,H,
1039,1,4,2127,M,
1040,2,4,2127,M,
1041,3,4,2127,M,
1042,4,4,2127,M,
1043,5,4,2127,M,
1044,1,4,2127,P,
1045,2,4,2127,P,
1046,3,4,2127,P,
1047,4,4,2127,P,
1048,5,4,2127,P,
1049,1,4,2127,Q,
1050,2,4,2127,Q,
1051,3,4,2127,Q,
1052,4,4,2127,Q,
1053,5,4,2127,Q,
1054,1,4,2127,R,
1055,2,4,2127,R,
1056,3,4,2127,R,
1057,4,4,2127,R,
1058,5,4,2127,R,
1059,1,5,2127,S,
1060,2,5,2127,S,
1061,3,5,2127,S,
1062,4,5,2127,S,
1063,5,5,2127,S,
1064,1,5,2127,T,
1065,2,5,2127,T,
1066,3,5,2127,T,
1067,4,5,2127,T,
1068,5,5,2127,T,
1069,1,5,2127,U,
1070,2,5,2127,U,
1071,3,5,2127,U,
1072,4,5,2127,U,
1073,5,5,2127,U,
1074,1,3,2131,F,
1075,2,3,2131,F,
1076,5,3,2131,F,
1077,3,3,2131,F,
1078,4,3,2131,F,
1079,2,3,2131,G,
1080,5,3,2131,G,
1081,1,3,2131,G,
1082,3,3,2131,G,
1083,4,3,2131,G,
1084,5,3,2131,H,
1085,1,3,2131,H,
1086,3,3,2131,H,
1087,4,3,2131,H,
1088,2,3,2131,H,
1089,1,4,2131,M,
1090,2,4,2131,M,
1091,5,4,2131,M,
1092,3,4,2131,M,
1093,4,4,2131,M,
1094,2,4,2131,P,
1095,5,4,2131,P,
1096,1,4,2131,P,
1097,3,4,2131,P,
1098,4,4,2131,P,
1099,5,4,2131,Q,
1100,1,4,2131,Q,
1101,3,4,2131,Q,
1102,4,4,2131,Q,
1103,2,4,2131,Q,
1104,2,4,2131,R,
1105,5,4,2131,R,
1106,1,4,2131,R,
1107,3,4,2131,R,
1108,4,4,2131,R,
1109,1,5,2131,S,
1110,2,5,2131,S,
1111,5,5,2131,S,
1112,3,5,2131,S,
1113,4,5,2131,S,
1114,2,5,2131,T,
1115,5,5,2131,T,
1116,1,5,2131,T,
1117,3,5,2131,T,
1118,4,5,2131,T,
1119,5,5,2131,U,
1120,1,5,2131,U,
1121,3,5,2131,U,
1122,4,5,2131,U,
1123,2,5,2131,U,
